대여소 그룹,대여소 명,대여 일자 / 월,대여 건수
강남구,2301. 현대고등학교 건너편,202107,2545
강남구,2302. 교보타워 버스정류장(신논현역 3번출구 후면),202107,1176
강남구,2303. 논현역 7번출구,202107,1467
강남구,2304. 신영 ROYAL PALACE 앞,202107,349
강남구,2305. MCM 본사 직영점 앞,202107,341
강남구,2306. 압구정역 2번 출구 옆,202107,1265
강남구,2307. 압구정 한양 3차 아파트,202107,383
강남구,2308. 압구정파출소 앞,202107,673
강남구,2309. 청담역(우리들병원 앞),202107,418
강남구,2310. 청담동 맥도날드 옆(위치),202107,410
강남구,2311. 학동로 래미안 아파트 앞,202107,310
강남구,2312. 청담역 13번 출구 앞,202107,449
강남구,2313. 금원빌딩 앞,202107,756
강남구,2314. 청담나들목입구,202107,704
강남구,2315. 봉은사역 5번출구 옆,202107,921
강남구,2316. 삼성역 8번출구,202107,1009
강남구,2317. 삼성도로공원,202107,1067
강남구,2318. 삼성중앙역4번출구(문화센터더 리빌),202107,366
강남구,2319. 포스코사거리 서측(수협 삼성동 지점),202107,662
강남구,2320. 도곡역 대치지구대 방향,202107,615
강남구,2321. 학여울역 사거리,202107,733
강남구,2322. 삼성역 3번 출구,202107,676
강남구,2323. 주식회사 오뚜기 정문 앞,202107,472
강남구,2324. 천주교 대치 2동 교회 옆,202107,1154
강남구,2325. 대치동 버거킹대치점,202107,762
강남구,2326. 대치동 삼성로,202107,377
강남구,2327. 뱅뱅사거리 랜드마크타워 앞,202107,1222
강남구,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,202107,452
강남구,2329. 르네상스호텔사거리 역삼지하보도 2번출구,202107,355
강남구,2330. 스타벅스 앞,202107,663
강남구,2331. 동영문화센터앞,202107,517
강남구,2332. 선릉역3번출구,202107,1211
강남구,2333. 양재역 3번출구 주변,202107,1065
강남구,2334. 삼호아파트 2동 ( 간선도로),202107,185
강남구,2335. 3호선 매봉역 3번출구앞,202107,1580
강남구,2336. 강남세브란스교차로 래미안그레이튼 104동 앞,202107,278
강남구,2337. 대모산입구역 2번출구 앞,202107,451
강남구,2339. 현대아파트 정문 앞,202107,526
