대여소그룹,대여소명,대여일자,대여건수
마포구,101. (구)합정동 주민센터,201806,832
마포구,102. 망원역 1번출구 앞,201806,2819
마포구,103. 망원역 2번출구 앞,201806,1977
마포구,104. 합정역 1번출구 앞,201806,1682
마포구,105. 합정역 5번출구 앞,201806,1105
마포구,106. 합정역 7번출구 앞,201806,3384
마포구,107. 신한은행 서교동금융센터점 앞,201806,2247
마포구,108. 서교동 사거리,201806,1637
마포구,109. 제일빌딩 앞,201806,1764
마포구,111. 상수역 2번출구 앞,201806,1520
마포구,112. 극동방송국 앞,201806,1703
마포구,113. 홍대입구역 2번출구 앞,201806,6426
마포구,114. 홍대입구역 8번출구 앞,201806,2548
서대문구,115. 사루비아 빌딩 앞,201806,1544
서대문구,116. 일진아이윌아파트 옆,201806,1640
서대문구,117. 홍은사거리,201806,2431
마포구,118. 광흥창역 2번출구 앞,201806,1490
마포구,119. 서강나루 공원,201806,1426
마포구,120. 신수동 사거리,201806,627
마포구,121. 마포소방서 앞,201806,834
마포구,122. 신성기사식당 앞,201806,1172
서대문구,123. 문화촌 공원,201806,780
마포구,124. 서강대 정문 건너편,201806,1411
마포구,125. 서강대 남문 옆,201806,1523
마포구,126. 서강대 후문 옆,201806,2193
마포구,127. 현대벤처빌 앞,201806,604
서대문구,128. 신촌역(2호선) 1번출구 옆,201806,1728
마포구,129. 신촌역(2호선) 6번출구 옆,201806,1153
마포구,130. 신촌역(2호선) 7번출구 앞,201806,1716
서대문구,131. 증산2교,201806,1356
서대문구,133. 해담는다리,201806,1194
서대문구,134. 연세로 명물길,201806,759
서대문구,135. 명물길 원형무대 앞,201806,819
마포구,136. 대흥동 주민센터,201806,445
서대문구,137. NH농협 신촌지점 앞,201806,631
서대문구,138. 신촌동 제1공영주차장 앞,201806,856
서대문구,139. 연세대 정문 건너편,201806,653
서대문구,140. 이화여대 후문,201806,746
서대문구,141. 연대 대운동장 옆,201806,856
마포구,142. 아현역 4번출구 앞,201806,874
마포구,143. 공덕역 2번출구,201806,1158
마포구,144. 공덕역 8번출구,201806,2762
마포구,145. 공덕역 5번출구,201806,1224
마포구,146. 마포역 2번출구 뒤,201806,2126
마포구,147. 마포역 4번출구 뒤,201806,1897
마포구,148. 용강동 주민센터 앞,201806,1315
마포구,150. 서강대역 2번출구 앞,201806,1528
마포구,151. 망원1동주민센터,201806,1733
마포구,152. 마포구민체육센터 앞,201806,4769
마포구,153. 성산2교 사거리,201806,2316
마포구,154. 마포구청역 ,201806,2231
마포구,155. 가좌역1 번출구 뒤,201806,1307
마포구,156. 서울서부지방법원 앞,201806,1207
마포구,157. 애오개역 4번출구 앞,201806,1447
서대문구,158. 독립문 어린이 공원,201806,749
서대문구,159. 이대역 4번 출구,201806,789
서대문구,160. 북아현동 가구거리,201806,698
서대문구,161. 무악재역1번 출구,201806,419
서대문구,162. 봉원고가차도 밑,201806,1005
서대문구,163. 명지전문대학교 정문 앞,201806,612
서대문구,164. 북가좌1동 주민센터 ,201806,599
서대문구,165. 중앙근린공원,201806,957
서대문구,166. 가재울 초등학교,201806,1625
서대문구,167. 연가초등학교 옆,201806,565
서대문구,169. 북가좌 삼거리,201806,537
서대문구,170. 가재울 뉴타운 주유소 옆,201806,1194
서대문구,173. 서대문역 8번출구 앞,201806,1047
서대문구,175. 홍연2교옆,201806,2062
서대문구,176. 명지대학교 도서관,201806,1838
서대문구,177. 북가좌 초등학교,201806,585
서대문구,178. 증산3교 앞,201806,616
서대문구,179. 가좌역 4번출구 앞,201806,1468
서대문구,180. 충정로역 7번출구 아래,201806,796
마포구,181. 망원초록길 입구,201806,223
마포구,182. 망원2빗물펌프장 앞,201806,1740
마포구,183. 하늘채코오롱아파트 건너편,201806,3048
마포구,184. SK망원동주유소 건너편,201806,1501
마포구,185. 마포 신수공원 앞,201806,1133
마포구,186. 월드컵공원,201806,1885
서대문구,188. 홍은동 정원여중 입구,201806,829
서대문구,191. 정명학원,201806,675
서대문구,192. 연서어린이공원,201806,734
서대문구,194. 증산교 앞,201806,1626
서대문구,195. 모래내고가차도 ,201806,738
서대문구,196. 연희교차로 인근,201806,505
서대문구,198. 충정2교,201806,731
마포구,199. 서울 월드컵 경기장,201806,840
영등포구,200. 국회의원회관,201806,590
영등포구,201. 진미파라곤 앞,201806,1355
영등포구,202. 국민일보 앞,201806,2349
영등포구,203. 국회의사당역 3번출구 옆,201806,1387
영등포구,204. 국회의사당역 5번출구 옆,201806,894
영등포구,205. 산업은행 앞,201806,1336
영등포구,206. KBS 앞,201806,1492
영등포구,207. 여의나루역 1번출구 앞,201806,8707
영등포구,209. 유진투자증권빌딩 앞,201806,1106
영등포구,210. IFC몰,201806,3574
영등포구,211. 여의도역 4번출구 옆,201806,2183
영등포구,212. 여의도역 1번출구 옆,201806,2772
영등포구,213. KT앞,201806,1552
영등포구,214. 금융감독원 앞,201806,1073
영등포구,215. 여의도고교 앞,201806,948
영등포구,217. NH농협은행 앞,201806,1390
영등포구,218. 증권거래소 앞,201806,657
영등포구,219. 롯데캐슬엠파이어 옆,201806,1019
영등포구,220. 미성아파트 A동 앞,201806,1382
영등포구,221. 여의도초교 앞,201806,1418
영등포구,222. 시범아파트버스정류장 옆,201806,2642
영등포구,223. 진주아파트상가 앞,201806,1229
영등포구,224. 롯데캐슬 앞,201806,1518
영등포구,225. 앙카라공원 앞,201806,1012
영등포구,226. 샛강역 1번출구 앞,201806,1416
영등포구,227. 양평2나들목 보행통로 입구,201806,1226
영등포구,228. 선유도역 3번출구 앞,201806,2028
영등포구,229. 양평1 보행육교 앞,201806,1153
영등포구,230. 영등포구청역 1번출구,201806,2339
영등포구,231. 남부고용노동지청 남측,201806,602
영등포구,232. 양평우림 이비즈센타 앞,201806,1997
영등포구,233. YP 센터 앞,201806,318
영등포구,234. 영등포구민체육센터 앞,201806,525
영등포구,235. 신길동 우리은행 옆,201806,626
영등포구,236. 문래동자이아파트 앞,201806,1129
동작구,237. 보라매 두산위브 건너편,201806,909
영등포구,238. 제2구민체육센타 앞,201806,1468
영등포구,239. 유스호스텔 앞,201806,1238
영등포구,240. 문래역 4번출구 앞,201806,1336
영등포구,241. 신길우성1차아파트 앞 공원,201806,937
영등포구,242. 신길선원가와인아파트 앞,201806,712
영등포구,243. 이앤씨드림타워 앞,201806,1058
영등포구,244. 영등포삼환아파트 앞,201806,2077
영등포구,245. 삼성생명 당산사옥 앞,201806,1410
영등포구,247. 당산역 10번출구 앞,201806,3219
영등포구,248. 초원아파트 앞,201806,1681
영등포구,249. 여의도중학교 옆,201806,1154
영등포구,250. 대림아파트 사거리,201806,717
영등포구,251. 서울지방병무청 버스정류장,201806,729
영등포구,252. 보라매역4번출구,201806,996
영등포구,253. 신풍역 5번출구 인근,201806,744
영등포구,254. 도림신협 앞,201806,279
영등포구,255. 도림4거리,201806,639
영등포구,256. 동아에코빌입구,201806,721
영등포구,257. 신길삼거리(우리은행),201806,1585
영등포구,258. 신길역3번출구,201806,1284
영등포구,259. 대방역6번출구,201806,2730
영등포구,260. 여의도 마리나선착장 앞,201806,0
영등포구,262. 영문초등학교 사거리,201806,1198
영등포구,263. 근로자회관 사거리,201806,1528
영등포구,264. 교보생명보험 앞,201806,817
영등포구,265. 영등포유통상가 사거리,201806,669
영등포구,266. 영등포청과시장 사거리,201806,1111
영등포구,267. 삼성화재 사옥 옆,201806,1196
영등포구,268. 그랜드컨벤션센터 앞,201806,1095
영등포구,270. 증권거래소후문교차로,201806,511
영등포구,271. 샛강생태공원방문자센터 앞,201806,514
영등포구,272. 당산육갑문,201806,3023
